alignment	tree_id	group	rank	au_test
E0060.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.575
E0060.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.425
E0061.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.545
E0061.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.455
E0062.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.800
E0062.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.200
E0065.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.719
E0065.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.281
E0066.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.504
E0066.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.496
E0072.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.576
E0072.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.424
E0074.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.766
E0074.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.234
E0080.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.894
E0080.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.106
E0083.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.646
E0083.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.354
E0084.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.516
E0084.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.484
E0085.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.893
E0085.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.107
E0086.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.888
E0086.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.112
E0089.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.518
E0089.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.482
E0093.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.808
E0093.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.192
E0095.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.862
E0095.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.138
E0097.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0
E0097.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0
E0099.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.886
E0099.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.114
E0104.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.728
E0104.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.272
E0108.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.900
E0108.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.100
E0109.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0
E0109.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0
E0110.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.578
E0110.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.422
E0111.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.817
E0111.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.183
E0114.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.834
E0114.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.166
E0115.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.606
E0115.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.394
E0117.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.863
E0117.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.137
E0119.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.540
E0119.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.460
E0120.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.536
E0120.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.464
E0121.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.531
E0121.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.469
E0122.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.495
E0122.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.505
E0126.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.836
E0126.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.164
E0127.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.795
E0127.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.205
E0130.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.744
E0130.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.256
E0132.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.766
E0132.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.234
E0138.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.579
E0138.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.421
E0143.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.887
E0143.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.113
E0147.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.595
E0147.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.405
E0148.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.948
E0148.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.052
E0151.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.644
E0151.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.355
E0154.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.717
E0154.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.283
E0157.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.633
E0157.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.367
E0160.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.719
E0160.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.281
E0161.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.488
E0161.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.512
E0165.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0
E0165.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0
E0167.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.529
E0167.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.471
E0168.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.587
E0168.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.413
E0170.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.784
E0170.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	2	0.216
E0171.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.597
E0171.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.403
E0175.r2_para_no_lavaretus_TBL_tlike_aln	2	(Outgroup,((Eso_salmo,Argentiniformes),(Osme_Stomia,(Neoteleostei,Galaxiiformes))));	1	0.648
E0175.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	2	0.352
E0176.r2_para_no_lavaretus_TBL_tlike_aln	1	(Outgroup,(Eso_salmo,(Argentiniformes,(Osme_Stomia,(Neoteleostei,Galaxiiformes)))));	1	0.846
